180). 	 Conctato a pelota   	6 	Yankees
181). 	 hit   	6 	Yankees
182). 	 Movimiento a home   	3 	Yankees
183). 	 Movimiento a 2da. base   	5 	Yankees
184). 	 Movimiento a 1er. base   	6 	Yankees
185). 	 foul   	7 	Yankees
186). 	 Conctato a pelota   	7 	Yankees
187). 	 hit   	7 	Yankees
188). 	 Movimiento a 3er. base   	5 	Yankees
189). 	 Movimiento a 2da. base   	6 	Yankees
190). 	 Movimiento a 1er. base   	7 	Yankees
191). 	 foul   	8 	Yankees
192). 	 foul   	8 	Yankees
193). 	 Conctato a pelota   	8 	Yankees
194). 	 out   	8 	Yankees
195). 	 Cambio de juego   	2 	Yankees
196). 	 1 bola   	6 	Indios
197). 	 2 bola   	6 	Indios
198). 	 Conctato a pelota   	6 	Indios
199). 	 out   	6 	Indios
200). 	 strike   	7 	Indios
201). 	 Conctato a pelota   	7 	Indios
202). 	 out   	7 	Indios
203). 	 1 bola   	8 	Indios
204). 	 strike   	8 	Indios
205). 	 foul   	8 	Indios
206). 	 strike   	8 	Indios
207). 	 ponche   	8 	Indios
208). 	 Cambio de juego   	1 	Indios
209). 	 1 bola   	9 	Yankees
210). 	 strike   	9 	Yankees
211). 	 2 bola   	9 	Yankees
212). 	 foul   	9 	Yankees
213). 	 strike   	9 	Yankees
214). 	 ponche   	9 	Yankees
215). 	 Conctato a pelota   	1 	Yankees
216). 	 out   	1 	Yankees
217). 	 1 bola   	2 	Yankees
218). 	 foul   	2 	Yankees
219). 	 2 bola   	2 	Yankees
220). 	 strike   	2 	Yankees
221). 	 Conctato a pelota   	2 	Yankees
222). 	 hit   	2 	Yankees
223). 	 Movimiento a 1er. base   	2 	Yankees
224). 	 strike   	3 	Yankees
225). 	 foul   	3 	Yankees
226). 	 1 bola   	3 	Yankees
227). 	 strike   	3 	Yankees
228). 	 ponche   	3 	Yankees
229). 	 Cambio de juego   	2 	Yankees
230). 	 bok   	9 	Indios
231). 	 Movimiento a 1er. base   	9 	Indios
232). 	 1 bola   	1 	Indios
233). 	 doble play   	1 	Indios
234). 	 out   	9 	Indios
235). 	 out   	1 	Indios
236). 	 strike   	2 	Indios
237). 	 Conctato a pelota   	2 	Indios
238). 	 out   	2 	Indios
239). 	 Cambio de juego   	1 	Indios
240). 	 strike   	4 	Yankees
241). 	 Conctato a pelota   	4 	Yankees
242). 	 out   	4 	Yankees
243). 	 1 bola   	5 	Yankees
244). 	 foul   	5 	Yankees
245). 	 foul   	5 	Yankees
246). 	 Conctato a pelota   	5 	Yankees
247). 	 hit   	5 	Yankees
248). 	 Movimiento a 1er. base   	5 	Yankees
249). 	 robo de base   	5 	Yankees
250). 	 Movimiento a 2da. base   	5 	Yankees
251). 	 Conctato a pelota   	6 	Yankees
252). 	 out   	6 	Yankees
253). 	 strike   	7 	Yankees
254). 	 foul   	7 	Yankees
255). 	 robo de base   	5 	Yankees
256). 	 Movimiento a 3er. base   	5 	Yankees
257). 	 Conctato a pelota   	7 	Yankees
258). 	 out   	7 	Yankees
259). 	 Cambio de juego   	2 	Yankees
260). 	 foul   	3 	Indios
261). 	 1 bola   	3 	Indios
262). 	 foul   	3 	Indios
263). 	 2 bola   	3 	Indios
264). 	 3 bola   	3 	Indios
265). 	 4 bola   	3 	Indios
266). 	 base por bolas   	3 	Indios
267). 	 Movimiento a 1er. base   	3 	Indios
268). 	 Conctato a pelota   	4 	Indios
269). 	 hit   	4 	Indios
270). 	 Movimiento a 2da. base   	3 	Indios
271). 	 Movimiento a 1er. base   	4 	Indios
272). 	 1 bola   	5 	Indios
273). 	 strike   	5 	Indios
274). 	 foul   	5 	Indios
275). 	 2 bola   	5 	Indios
276). 	 foul   	5 	Indios
277). 	 doble play   	5 	Indios
278). 	 out   	4 	Indios
279). 	 out   	5 	Indios
280). 	 strike   	6 	Indios
281). 	 Conctato a pelota   	6 	Indios
282). 	 hit   	6 	Indios
283). 	 Movimiento a 3er. base   	3 	Indios
284). 	 Movimiento a 1er. base   	6 	Indios
285). 	 foul   	7 	Indios
286). 	 robo de base   	3 	Indios
287). 	 Movimiento a home   	3 	Indios
288). 	 Conctato a pelota   	7 	Indios
289). 	 out   	7 	Indios
290). 	 Cambio de juego   	1 	Indios
291). 	 foul   	8 	Yankees
